week_start,week_end,year,week_of_year,is_partial_week,quantity,sales,profit,order_count,transaction_count,avg_discount
2014-11-10,2014-11-16,2014,46,False,279,15343.35,913.28,30,75,0.1316
2014-11-17,2014-11-23,2014,47,False,291,26800.98,4571.81,40,79,0.1747
2014-11-24,2014-11-30,2014,48,False,284,15052.98,159.38,38,73,0.1336
2014-12-01,2014-12-07,2014,49,False,242,13515.08,1803.55,31,60,0.2017
2014-12-08,2014-12-14,2014,50,False,178,16064.32,2509.97,26,50,0.227
2014-12-15,2014-12-21,2014,51,False,240,18036.83,2370.33,31,62,0.1919
2014-12-22,2014-12-28,2014,52,False,246,12431.38,881.74,32,63,0.1746
2014-12-29,2015-01-04,2014,1,False,243,13462.79,12.64,27,58,0.1659
2015-01-05,2015-01-11,2015,2,False,44,1708.98,-171.82,6,13,0.1462
2015-01-12,2015-01-18,2015,3,False,51,1827.28,-76.94,7,13,0.2
2015-01-19,2015-01-25,2015,4,False,15,358.52,1.23,3,5,0.16
2015-01-26,2015-02-01,2015,5,False,56,10314.52,-1628.14,7,12,0.175
2015-02-02,2015-02-08,2015,6,False,71,3378.58,532.95,12,21,0.0905
2015-02-09,2015-02-15,2015,7,False,78,3545.13,691.98,9,21,0.2095
2015-02-16,2015-02-22,2015,8,False,40,3253.51,1498.59,9,11,0.0182
2015-02-23,2015-03-01,2015,9,False,73,3416.36,103.04,11,18,0.1733
2015-03-02,2015-03-08,2015,10,False,115,7794.92,1138.62,15,33,0.1788
2015-03-09,2015-03-15,2015,11,False,57,2729.49,656.11,11,16,0.1625
2015-03-16,2015-03-22,2015,12,False,179,18231.99,6501.08,24,47,0.1238
2015-03-23,2015-03-29,2015,13,False,116,7555.75,1455.68,20,29,0.069
2015-03-30,2015-04-05,2015,14,False,124,5529.82,72.73,15,34,0.25
2015-04-06,2015-04-12,2015,15,False,89,3344.06,-507.5,14,25,0.184
2015-04-13,2015-04-19,2015,16,False,192,12471.88,1116.13,23,58,0.1741
2015-04-20,2015-04-26,2015,17,False,86,5277.77,751.7,15,29,0.1121
2015-04-27,2015-05-03,2015,18,False,149,11160.55,3060.86,17,42,0.1643
2015-05-04,2015-05-10,2015,19,False,81,5612.2,1227.56,14,22,0.1455
2015-05-11,2015-05-17,2015,20,False,124,5092.25,524.22,15,30,0.2117
2015-05-18,2015-05-24,2015,21,False,90,6030.1,575.63,11,18,0.2833
2015-05-25,2015-05-31,2015,22,False,208,10580.21,2001.92,26,54,0.113
2015-06-01,2015-06-07,2015,23,False,81,3619.47,939.72,10,19,0.1263
2015-06-08,2015-06-14,2015,24,False,161,6608.24,157.6,18,45,0.1889
2015-06-15,2015-06-21,2015,25,False,115,7445.0,1892.25,19,37,0.2
2015-06-22,2015-06-28,2015,26,False,121,6691.65,258.78,17,33,0.1576
2015-06-29,2015-07-05,2015,27,False,103,4148.74,521.93,18,32,0.2031
2015-07-06,2015-07-12,2015,28,False,172,7025.85,1119.24,17,43,0.1907
2015-07-13,2015-07-19,2015,29,False,101,7046.08,501.07,14,26,0.1712
2015-07-20,2015-07-26,2015,30,False,137,6791.64,487.49,14,32,0.1312
2015-07-27,2015-08-02,2015,31,False,78,6488.11,536.45,11,20,0.095
2015-08-03,2015-08-09,2015,32,False,139,7254.22,1506.34,17,41,0.1346
2015-08-10,2015-08-16,2015,33,False,118,5511.0,300.88,16,32,0.1656
2015-08-17,2015-08-23,2015,34,False,136,4478.07,236.66,11,34,0.1603
2015-08-24,2015-08-30,2015,35,False,145,14751.07,3101.13,16,36,0.1819
2015-08-31,2015-09-06,2015,36,False,187,9855.3,1877.61,30,54,0.1491
2015-09-07,2015-09-13,2015,37,False,232,10543.76,1558.75,30,62,0.1016
2015-09-14,2015-09-20,2015,38,False,296,23615.15,149.0,35,72,0.1444
2015-09-21,2015-09-27,2015,39,False,372,22125.14,4757.0,45,101,0.1584
2015-09-28,2015-10-04,2015,40,False,142,4266.84,791.52,23,42,0.175
2015-10-05,2015-10-11,2015,41,False,111,6466.84,-200.09,19,30,0.1717
2015-10-12,2015-10-18,2015,42,False,105,7263.32,144.55,14,28,0.1607
2015-10-19,2015-10-25,2015,43,False,156,7389.16,1090.13,21,39,0.1821
2015-10-26,2015-11-01,2015,44,False,185,10183.24,2200.58,21,50,0.103
2015-11-02,2015-11-08,2015,45,False,292,24445.82,4292.48,36,67,0.1828
2015-11-09,2015-11-15,2015,46,False,301,16633.32,3301.61,35,76,0.1378
2015-11-16,2015-11-22,2015,47,False,336,16088.33,1282.48,41,87,0.2048
2015-11-23,2015-11-29,2015,48,False,281,13900.59,2603.51,31,67,0.1112
2015-11-30,2015-12-06,2015,49,False,388,23046.27,1885.83,49,93,0.1683
2015-12-07,2015-12-13,2015,50,False,278,11188.56,1999.75,37,77,0.1039
2015-12-14,2015-12-20,2015,51,False,226,16439.98,121.59,36,66,0.1348
2015-12-21,2015-12-27,2015,52,False,303,21324.86,3150.38,38,76,0.1529
2015-12-28,2016-01-03,2015,53,False,99,7219.99,1424.09,13,27,0.1333
2016-01-04,2016-01-10,2016,1,False,82,4185.65,864.0,11,20,0.2
2016-01-11,2016-01-17,2016,2,False,74,2399.48,477.52,10,20,0.105
2016-01-18,2016-01-24,2016,3,False,89,3848.35,583.5,11,18,0.1
2016-01-25,2016-01-31,2016,4,False,87,5607.26,407.78,12,23,0.1435
2016-02-01,2016-02-07,2016,5,False,116,14111.86,3850.71,15,31,0.0581
2016-02-08,2016-02-14,2016,6,False,52,3912.02,465.12,8,13,0.0615
2016-02-15,2016-02-21,2016,7,False,91,3475.99,338.73,13,28,0.1429
2016-02-22,2016-02-28,2016,8,False,40,1367.84,341.7,8,10,0.12
2016-02-29,2016-03-06,2016,9,False,120,14950.43,1682.7,16,34,0.2294
2016-03-07,2016-03-13,2016,10,False,209,22184.76,963.22,28,59,0.1797
2016-03-14,2016-03-20,2016,11,False,124,7515.18,826.47,22,34,0.1976
2016-03-21,2016-03-27,2016,12,False,66,3739.86,144.65,13,21,0.1667
2016-03-28,2016-04-03,2016,13,False,153,7494.32,934.13,19,38,0.1184
2016-04-04,2016-04-10,2016,14,False,176,10254.05,-403.94,26,46,0.125
2016-04-11,2016-04-17,2016,15,False,143,14973.25,2788.59,21,37,0.1365
2016-04-18,2016-04-24,2016,16,False,194,8293.22,-405.51,22,53,0.1811
2016-04-25,2016-05-01,2016,17,False,49,1689.81,-7.45,11,18,0.3111
2016-05-02,2016-05-08,2016,18,False,181,11311.61,1724.46,24,53,0.1868
2016-05-09,2016-05-15,2016,19,False,143,4076.23,577.8,23,38,0.2263
2016-05-16,2016-05-22,2016,20,False,187,9920.94,1404.43,24,44,0.1841
2016-05-23,2016-05-29,2016,21,False,209,22631.65,3203.03,23,53,0.1491
2016-05-30,2016-06-05,2016,22,False,219,11734.71,1940.9,22,56,0.1821
2016-06-06,2016-06-12,2016,23,False,244,13764.72,1588.41,28,59,0.1542
2016-06-13,2016-06-19,2016,24,False,133,7768.28,921.55,23,40,0.1275
2016-06-20,2016-06-26,2016,25,False,221,12405.57,1564.18,28,60,0.1233
2016-06-27,2016-07-03,2016,26,False,112,6545.55,1388.78,18,31,0.0839
2016-07-04,2016-07-10,2016,27,False,151,9619.22,1262.13,18,40,0.2388
2016-07-11,2016-07-17,2016,28,False,193,5720.97,987.84,22,51,0.0941
2016-07-18,2016-07-24,2016,29,False,188,7858.96,1078.42,24,54,0.1722
2016-07-25,2016-07-31,2016,30,False,169,12717.95,278.72,22,40,0.1825
2016-08-01,2016-08-07,2016,31,False,82,3051.37,540.77,13,22,0.1273
2016-08-08,2016-08-14,2016,32,False,146,7535.55,243.13,21,38,0.1961
2016-08-15,2016-08-21,2016,33,False,151,7658.5,522.39,20,36,0.1889
2016-08-22,2016-08-28,2016,34,False,241,10556.93,1132.92,29,63,0.1654
2016-08-29,2016-09-04,2016,35,False,358,21769.01,2978.46,40,94,0.1745
2016-09-05,2016-09-11,2016,36,False,347,19714.77,1870.77,52,98,0.1951
2016-09-12,2016-09-18,2016,37,False,229,14877.14,3028.02,34,68,0.0853
2016-09-19,2016-09-25,2016,38,False,328,12738.17,1341.4,48,85,0.1335
2016-09-26,2016-10-02,2016,39,False,182,25858.35,8428.87,33,50,0.1874
2016-10-03,2016-10-09,2016,40,False,132,10506.05,1928.76,22,33,0.2152
2016-10-10,2016-10-16,2016,41,False,191,7064.66,929.73,16,52,0.1635
2016-10-17,2016-10-23,2016,42,False,198,12814.73,3266.69,29,47,0.1096
2016-10-24,2016-10-30,2016,43,False,157,6317.42,971.63,25,41,0.1171
2016-10-31,2016-11-06,2016,44,False,313,16935.64,1361.59,38,82,0.1515
2016-11-07,2016-11-13,2016,45,False,395,22812.18,3611.25,50,105,0.1362
2016-11-14,2016-11-20,2016,46,False,280,12766.91,2133.87,43,79,0.1709
2016-11-21,2016-11-27,2016,47,False,381,25948.62,-2765.02,49,94,0.1628
2016-11-28,2016-12-04,2016,48,False,322,22963.28,3977.99,37,83,0.1117
2016-12-05,2016-12-11,2016,49,False,462,25271.82,4419.25,48,108,0.1222
2016-12-12,2016-12-18,2016,50,False,272,26505.97,6287.33,35,66,0.1333
2016-12-19,2016-12-25,2016,51,False,265,21384.95,2740.47,32,66,0.1803
2016-12-26,2017-01-01,2016,52,False,220,7053.96,398.89,36,57,0.2088
2017-01-02,2017-01-08,2017,1,False,79,8472.14,1351.84,10,19,0.2316
2017-01-09,2017-01-15,2017,2,False,137,8938.66,-617.59,14,35,0.1914
2017-01-16,2017-01-22,2017,3,False,147,15770.86,4887.21,16,40,0.11
2017-01-23,2017-01-29,2017,4,False,126,5558.56,1391.95,19,35,0.1114
2017-01-30,2017-02-05,2017,5,False,125,7880.7,778.07,15,38,0.1868
2017-02-06,2017-02-12,2017,6,False,62,3146.74,-49.43,13,18,0.2083
2017-02-13,2017-02-19,2017,7,False,113,6962.61,576.22,16,35,0.1463
2017-02-20,2017-02-26,2017,8,False,112,6042.81,609.23,14,30,0.1733
2017-02-27,2017-03-05,2017,9,False,124,4936.69,1226.98,18,35,0.1343
2017-03-06,2017-03-12,2017,10,False,140,6078.67,794.47,22,39,0.1513
2017-03-13,2017-03-19,2017,11,False,266,10592.1,1024.56,28,68,0.1544
2017-03-20,2017-03-26,2017,12,False,201,27125.48,9481.31,31,56,0.0893
2017-03-27,2017-04-02,2017,13,False,233,16952.99,2991.64,30,59,0.1083
2017-04-03,2017-04-09,2017,14,False,115,10955.35,2510.98,18,37,0.1541
2017-04-10,2017-04-16,2017,15,False,162,4420.52,587.83,30,47,0.1926
2017-04-17,2017-04-23,2017,16,False,199,8866.18,-3059.85,24,52,0.2442
2017-04-24,2017-04-30,2017,17,False,181,5483.54,135.49,34,50,0.2134
2017-05-01,2017-05-07,2017,18,False,225,13201.19,479.82,29,56,0.1977
2017-05-08,2017-05-14,2017,19,False,237,13405.07,2940.17,29,64,0.1281
2017-05-15,2017-05-21,2017,20,False,222,10927.58,1949.62,26,60,0.1317
2017-05-22,2017-05-28,2017,21,False,158,5299.28,787.39,25,45,0.1733
2017-05-29,2017-06-04,2017,22,False,213,9853.52,1970.51,30,59,0.1647
2017-06-05,2017-06-11,2017,23,False,168,7782.87,660.18,27,47,0.183
2017-06-12,2017-06-18,2017,24,False,207,14545.52,2960.02,29,57,0.1605
2017-06-19,2017-06-25,2017,25,False,194,7114.81,752.52,29,52,0.2077
2017-06-26,2017-07-02,2017,26,False,212,15922.03,2220.97,29,52,0.1302
2017-07-03,2017-07-09,2017,27,False,257,13091.86,2183.13,33,67,0.1567
2017-07-10,2017-07-16,2017,28,False,152,8644.26,748.5,19,41,0.1049
2017-07-17,2017-07-23,2017,29,False,237,11722.32,1120.49,30,64,0.1602
2017-07-24,2017-07-30,2017,30,False,138,9438.92,2280.49,20,38,0.1211
2017-07-31,2017-08-06,2017,31,False,150,6122.8,936.26,27,39,0.1154
2017-08-07,2017-08-13,2017,32,False,216,12347.67,1280.72,20,52,0.1173
2017-08-14,2017-08-20,2017,33,False,207,20272.34,2697.68,28,53,0.1755
2017-08-21,2017-08-27,2017,34,False,246,21094.18,3577.36,29,61,0.1443
2017-08-28,2017-09-03,2017,35,False,298,17054.44,4153.89,41,80,0.1256
2017-09-04,2017-09-10,2017,36,False,422,18582.84,-185.69,63,117,0.1932
2017-09-11,2017-09-17,2017,37,False,403,23552.72,4097.98,49,104,0.1365
2017-09-18,2017-09-24,2017,38,False,447,27575.67,3194.6,58,124,0.1218
2017-09-25,2017-10-01,2017,39,False,257,8921.37,1757.51,35,70,0.15
2017-10-02,2017-10-08,2017,40,False,296,19484.32,2046.51,36,80,0.1606
2017-10-09,2017-10-15,2017,41,False,239,16929.38,2765.95,33,58,0.1621
2017-10-16,2017-10-22,2017,42,False,254,27411.76,2612.27,40,71,0.2031
2017-10-23,2017-10-29,2017,43,False,179,6423.35,276.51,23,51,0.2029
2017-10-30,2017-11-05,2017,44,False,437,31325.57,-937.61,55,113,0.1611
2017-11-06,2017-11-12,2017,45,False,416,20571.87,2181.32,64,111,0.1658
2017-11-13,2017-11-19,2017,46,False,485,35344.42,4716.83,70,115,0.1734
2017-11-20,2017-11-26,2017,47,False,410,20087.25,3201.0,57,104,0.1562
2017-11-27,2017-12-03,2017,48,False,564,32354.57,2081.82,62,130,0.1692
2017-12-04,2017-12-10,2017,49,False,480,24006.96,1099.17,62,131,0.1153
2017-12-11,2017-12-17,2017,50,False,267,10495.96,758.96,37,77,0.1331
2017-12-18,2017-12-24,2017,51,False,372,23662.36,4245.49,52,99,0.1268
2017-12-25,2017-12-31,2017,52,False,233,8977.83,1387.44,35,67,0.1884
